Year,P/E Ratio
2024,53.16
2024,52.24
2024,54.88
2024,50.52
2024,51.52
2023,53.78
2023,112.82
2023,144.45
2023,112.20
2022,57.38
2022,59.48
2022,49.65
2022,63.53
2021,78.63
2021,69.36
2021,70.85
2021,75.16
2020,81.75
2020,77.70
2020,54.38
2020,52.04
2019,51.13
2019,37.84
2019,33.96
2019,21.50
2018,27.91
2018,35.43
2018,37.07
2018,50.45
2017,50.70
2017,45.44
2017,34.16
2017,42.13
2016,36.58
2016,36.83
2016,29.63
2016,26.40
2015,25.48
2015,20.23
2015,19.05
2015,16.42
2014,18.27
2014,18.29
2014,20.56
2014,19.92
2013,18.48
2013,14.92
2013,13.68
2013,12.53
2012,13.48
2012,16.02
2012,14.28
2012,14.18
2011,13.02
2011,14.04
2011,45.91
2011,53.31
2010,0.00
2010,20.88
2010,31.09
2010,0.00
2009,0.00
